OBJECTID,CRA_NO,CRA_GRP,GEN_ALIAS,DETL_NAMES,NEIGHDIST,AREA_ACRES,AREA_SQMI,SHAPE_Length,SHAPE_Area
1,1.1,1,Arbor Heights,"Arbor Heights, Brace Point, Endolyne, Arroyo",Southwest,785.9,1.23,27702.7276458367,34233874.1200353
2,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",Southwest,1393.1,2.18,48830.0483169182,60685103.632228
3,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",Southwest,1447.5,2.26,38739.8962573325,63054619.6172725
4,1.4,1,Alki/Admiral,"Alki, Admiral",Southwest,898.3,1.4,50339.6564153755,39129742.8794639
5,2.1,2,North Delridge,"North Delridge, Pigeon Point, Avalon, Luna Park, Harbor Island",Delridge Neighborhoods,1606.9,2.51,64237.7426816208,69994939.1831349
6,2.2,2,High Point,"High Point, Delridge",Delridge Neighborhoods,553.2,0.86,22626.0082154467,24096694.2127556
7,2.3,2,Riverview,"Riverview, Delridge",Delridge Neighborhoods,1005.9,1.57,37828.4217614745,43817259.5771051
8,2.4,2,Roxhill/Westwood,"Roxhill, Westwood, South Delridge, White Center",Delridge Neighborhoods,978.5,1.53,33451.4986286928,42622650.627982
9,2.5,2,Highland Park,"Highland Park, Westwood, White Center, South Delridge",Delridge Neighborhoods,897.7,1.4,31097.8436605651,39103231.3900942
10,3.1,3,South Park,South Park,Greater Duwamish,693.9,1.08,36300.1031653932,30228043.4120562
11,3.2,3,Georgetown,Georgetown,Greater Duwamish,1183.9,1.85,44780.4190728638,51570826.0410687
12,3.3,3,Duwamish/SODO,"Duwamish, SODO, Pioneer Square",Greater Duwamish,2343.5,3.66,53360.7570739473,102080799.9288
13,3.4,3,South Beacon Hill/NewHolly,"South Beacon Hill, NewHolly, Holly Park",Greater Duwamish,1549.5,2.42,44496.5606991094,67496709.783662
14,3.5,3,Beacon Hill,Beacon Hill,Greater Duwamish,841.1,1.31,27112.9105943031,36636855.3013548
15,3.6,3,North Beacon Hill/Jefferson Park,"North Beacon Hill, Jefferson Park",Greater Duwamish,1232,1.92,37207.4639898794,53665453.1930722
16,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",Southeast,1363.1,2.13,54987.9705122585,59374855.142848
17,4.2,4,Columbia City,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",Southeast,1310.2,2.05,45667.7424621736,57072692.2734878
18,4.3,4,Seward Park,"Seward Park, Hillman City",Southeast,1010.6,1.58,41505.0650848907,44022748.1187118
19,4.4,4,Mt. Baker/North Rainier,"Mt. Baker, North Rainier, Atlantic",Southeast,629.9,0.98,29849.6262622726,27439653.4280382
20,5.1,5,Madrona/Leschi,"Madrona, Leschi, Harrison/Denny-Blaine",Central,827,1.29,40585.252375699,36024341.2683986
21,5.2,5,Judkins Park,"Judkins Park, Central Area, Little Saigon, Atlantic",Central,202.9,0.32,13582.310929366,8837338.03673081
22,5.3,5,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park",Central,849.6,1.33,28540.7947276557,37007294.5109783
23,6.1,6,First Hill,"First Hill, Yesler Terrace, Squire Park",East,440.9,0.69,21945.958277389,19206217.0221193
24,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",East,426.5,0.67,19343.7967546677,18579973.3770873
25,6.3,6,North Capitol Hill,"North Capitol Hill, Capitol Hill, North Broadway",East,283.7,0.44,18047.3824394853,12356839.921513
26,6.4,6,Miller Park,"Madison-Miller, Miller Park, Capitol Hill, Stevens",East,364.2,0.57,18141.3121409905,15863125.8453405
27,6.5,6,Madison Park,"Madison Park, Broadmoor, Washington Park, Harrison/Denny-Blaine",East,558.6,0.87,26794.5430841267,24333969.4950655
