OBJECTID,votdst,NAME,SUM_VOTERS,Shape_Length,Shape_Area
1,3562,ADAIR,506,14129.2154086581,8913971.91548851
2,2381,ALDARRA,841,64188.3272018021,142659373.882696
3,3400,ALDER SPRINGS,595,35361.6528844228,66917430.4537191
4,0010,ALDERWOOD,688,21841.7164170827,22421389.4685387
5,0013,ALG 30-0013,556,15788.9285661571,10618217.320981
6,0014,ALG 30-0014,617,20153.3184873756,14785892.7767199
7,3141,ALG 30-3141,598,17031.9732033019,10759738.334835
8,2383,ALPINE,660,39865.3177714236,73778576.3850785
9,2652,AMES LAKE,441,16371.5550495341,12435148.7259125
10,0022,ANGEL CITY,537,9375.3948249989,3176791.47970876
11,2384,ANGELO,554,22922.8397464155,15784464.8518743
12,3763,ANNIE,236,11057.1496207488,3041877.97786969
13,3769,AQUA,544,7959.31161443224,3409788.59887396
14,3459,ARIA,451,13213.7350990508,4218623.63919421
15,0037,ARTHUR,709,48692.5283354616,100966595.477317
16,3641,ASPEN GLEN,374,19533.9630176634,17522234.7633402
17,0046,AUB 30-0046,390,7952.09092896494,3510634.35556522
18,0053,AUB 30-0053,592,6349.2806466238,2446049.51100859
19,0067,AUB 30-0067,603,54947.0073680014,63771094.444659
20,2702,AUB 30-2702,589,11054.8908297113,5039528.14270646
21,2703,AUB 30-2703,534,15544.7812502891,6435918.51285018
22,3476,AUB 30-3476,420,10912.5567967146,4657231.57905382
23,0042,AUB 31-0042,618,19137.5051285829,23088176.0178497
24,0047,AUB 31-0047,701,13156.7695484662,4764378.90590969
25,0048,AUB 31-0048,280,13678.2631263093,3997714.61230913
26,0049,AUB 31-0049,648,11313.531125439,4248326.94335602
27,0050,AUB 31-0050,524,9629.6913998265,4674297.48497629
28,0051,AUB 31-0051,610,16420.5375085031,11730820.8607039
29,0054,AUB 31-0054,613,7443.13595023924,3195909.64164524
30,0058,AUB 31-0058,302,7459.76254441823,2595768.07809757
31,0062,AUB 31-0062,738,13357.2967369181,8607058.48251933
32,0063,AUB 31-0063,391,7887.5670127918,2925299.85672264
33,0064,AUB 31-0064,510,19188.3172055969,22230290.7889502
34,0065,AUB 31-0065,396,8700.95237753384,3542752.54902548
35,0069,AUB 31-0069,346,11691.8345045771,5936707.29442227
36,0070,AUB 31-0070,769,10619.6066945233,5711892.07030343
37,0078,AUB 31-0078,496,8978.72577280281,4381444.15270019
38,0080,AUB 31-0080,702,27470.1498756305,23297656.0992801
39,0081,AUB 31-0081,582,13788.4780586063,6293686.47488932
40,0082,AUB 31-0082,439,13399.6448142896,5851287.13198291
41,0083,AUB 31-0083,528,11848.0419096023,6127632.3980348
42,3299,AUB 31-3299,236,42234.9521687973,98913985.301601
43,3335,AUB 31-3335,883,15651.8726601655,9535407.64105374
44,3405,AUB 31-3405,732,8310.00425635704,3981923.06603267
45,3800,AUB 31-3800,727,14066.6746394223,4930360.01997817
46,0041,AUB 47-0041,559,12375.558633607,5164861.3782522
47,0045,AUB 47-0045,614,9513.11217868234,5720697.30173633
48,0055,AUB 47-0055,575,9801.88516259601,3766166.60629448
49,0059,AUB 47-0059,792,43664.745627869,46996265.3168148
50,0072,AUB 47-0072,607,10607.5165899949,4760033.27356133
